chroma,brightness,sigma,detail,step,selected,unsupported_reason,baseline_loss,best_loss,selected_loss,max_noise_ratio,max_clean_error,max_bias,feasible_candidates
True,0.250980406999588,0.0020000000949949026,50.0,5.0,72,,0.9999902988569058,0.225538888037354,0.23471866302748035,0.31716265421374973,7.62939453125e-06,0.3081638145446777,33
True,0.250980406999588,0.004000000189989805,50.0,5.0,87,,0.999997629965165,0.08600535392183249,0.08979736724589567,0.19444267764162146,0.0,0.0,33
True,0.250980406999588,0.00800000037997961,50.0,5.0,100,,0.9999994587634521,0.04436395043207729,0.04436395043207729,0.10646584564481569,0.0,0.0,25
True,0.250980406999588,0.012000000104308128,50.0,5.0,100,,0.9999997739807376,0.03795624810381409,0.03795624810381409,0.10876192788381754,0.0,0.0,25
True,0.250980406999588,0.01600000075995922,50.0,5.0,100,,0.9999998715156789,0.04620474998902195,0.04620474998902195,0.1467362931784296,0.0,0.0,25
True,0.250980406999588,0.03200000151991844,50.0,5.0,100,,0.9999999567159007,0.13520026620917033,0.13520026620917033,0.37031802615913667,0.0,0.0,25
True,0.250980406999588,0.06400000303983688,50.0,5.0,100,,0.9999999822275806,0.37587724864133754,0.37587724864133754,0.6436919385834629,0.0,0.0,25
True,0.250980406999588,0.09600000083446503,50.0,5.0,100,,0.9999999889344671,0.5682859229339841,0.5682859229339841,0.8082448399962956,0.0,0.0,25
True,0.250980406999588,0.12800000607967377,50.0,5.0,100,,0.9999999917633472,0.7077401750954355,0.7077401750954355,0.8888927289999002,0.0,0.0,25
True,0.3764705955982208,0.0010000000474974513,50.0,1.0,68,,0.9998253039098205,0.2313839322060262,0.24193559738653583,0.35656044611019483,7.62939453125e-06,0.1030709457397461,33
True,0.3764705955982208,0.0020000000949949026,50.0,1.0,87,,0.9999563288719409,0.0883111511372757,0.09231129922880853,0.2015587651760773,7.62939453125e-06,0.15323642730712891,33
True,0.3764705955982208,0.004000000189989805,50.0,1.0,95,,0.9999891225997142,0.039806081480914066,0.04108091289320231,0.1596958570806288,7.62939453125e-06,0.3047068786621094,29
